nroDireccion,cutoff,n_meses_pre_cutoff,n_meses_post_cutoff,primer_mes,ultimo_mes_pre,primer_mes_post,total_facturado_pre,total_pagado_pre,total_pendiente_pre,ratio_pago_pre,ratio_pago_post,pct_pendiente_post,cumple_pago_heur,split,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31
4023,2025-01,5,1,2021-11,2023-02,2026-02,620.0,620.0,0.0,1.0,1.0,0.0,1,test,0.5158225,-0.45597965,0.087820426,0.12210065,0.315634,-0.14178015,-0.22963694,-0.34598213,-0.16990161,0.37722635,-0.59222925,0.4133419,-0.14203951,0.13092034,0.83336747,0.48117325,-0.17216805,0.043247897,-0.33637863,-0.12616564,-0.5449004,-0.74225956,-0.4473005,-0.22959548,0.6565374,0.52153116,-0.20061776,-0.4532064,0.013271663,0.10851852,-0.31660944,0.3206058
4058,2025-01,24,17,2022-02,2024-12,2025-01,56909.81,50616.64,6293.17,0.8957772171174954,0.9566584847004866,0.043341515299513286,1,train,-0.9969102,-0.46563888,-0.20918909,0.72045934,-0.9806812,-1.0834609,1.119393,0.9945226,1.3282512,-1.111827,0.07845275,-1.7482603,0.53069586,-1.521968,-0.4635965,-0.6414984,-1.0997436,-0.64819163,0.96320003,-0.6320754,0.90901905,0.6379994,-0.5246895,0.43515274,-0.98725003,-0.21219277,0.9106415,0.40236112,-0.6856313,-0.9891248,1.2805227,0.95027626
4072,2025-01,4,1,2021-12,2022-03,2025-07,180.0,150.0,30.0,0.9292452830188679,1.0,0.0,1,test,0.3870592,-0.4950138,0.037580114,0.4135153,0.5015913,-0.18567935,-0.29153323,-0.32095373,-0.19467464,0.16851896,-0.780656,0.5087308,0.060557574,0.2639933,1.0890288,0.46815127,-0.203575,0.049457926,-0.64863676,-0.29912403,-0.60401064,-1.1316519,-0.6699218,-0.28414014,0.6799316,0.55499053,0.00078533776,-0.43165535,-0.037518047,0.04163853,-0.5135197,0.46646973
4128,2025-01,3,2,2022-01,2023-09,2025-12,1169.2,1169.2,0.0,1.0,1.0,0.0,1,train,0.5693996,-0.48822984,0.084288724,0.11691903,0.35494983,-0.15257886,-0.2962294,-0.34680656,-0.22228447,0.40993175,-0.6232598,0.4550217,-0.17639193,0.24187599,0.91463697,0.5467867,-0.19848683,0.0858459,-0.45242837,-0.050144114,-0.6065645,-0.8511666,-0.50149214,-0.29272622,0.7433507,0.4968798,-0.19964416,-0.52589023,-0.01415398,0.1515162,-0.38247022,0.3368552
4163,2025-01,15,1,2022-02,2024-05,2025-05,1818.6,1818.6,0.0,1.0,1.0,0.0,1,test,0.28833458,-0.17328134,0.06931766,0.06740172,0.13502136,0.008936873,-0.08377968,-0.17899275,0.006551951,0.2746909,-0.29246575,0.2372552,-0.017691642,-0.02271011,0.33479366,0.23770794,-0.025606632,-0.010620229,0.06616739,-0.242353,-0.20986363,-0.1955265,-0.21064416,-0.030712713,0.26840603,0.32273775,-0.17179404,-0.1696038,0.039591573,0.024478711,-0.092080295,0.1558845
4244,2025-01,11,3,2022-04,2024-09,2025-03,1705.62,1705.62,0.0,1.0,1.0,0.0,1,test,0.3839715,-0.21834776,0.085126474,0.13804871,0.20146534,-0.021948319,-0.23523046,-0.21383503,-0.10854215,0.3167447,-0.5586438,0.33315137,-0.02687969,0.15841116,0.6060523,0.33733493,-0.047061086,-0.03438373,-0.18911998,-0.20916548,-0.25341237,-0.566206,-0.41635442,-0.15328765,0.42644972,0.38593346,-0.13785568,-0.30526718,0.034296963,0.08528633,-0.23907857,0.2981133
4247,2025-01,9,5,2022-04,2024-12,2025-03,3497.8,3497.8,0.0,1.0,1.0,0.0,1,train,0.4051075,-0.40422282,0.05620816,0.096987486,0.17424518,-0.04791406,-0.2341622,-0.31138027,-0.03566394,0.41842902,-0.5011025,0.313625,-0.06631989,0.19365253,0.7754338,0.46286657,-0.17107385,-0.0059117004,-0.18180078,-0.119980216,-0.42712635,-0.6715077,-0.4480813,-0.23583189,0.59537786,0.4172864,-0.12809555,-0.5211065,-0.05916175,0.10292754,-0.33659065,0.36633435
4256,2025-01,11,2,2022-04,2024-08,2025-05,2747.9500000000003,2747.9500000000003,0.0,1.0,1.0,0.0,1,train,0.39502555,-0.1256896,0.11283496,0.15440625,0.21582884,0.048996612,-0.31443125,-0.1551224,-0.16386014,0.2966761,-0.54104817,0.3486622,-0.0017012805,0.21622051,0.572147,0.3258049,-0.014037557,-0.04036449,-0.24703532,-0.19037195,-0.21728499,-0.57310605,-0.4291805,-0.15585709,0.38696164,0.33023998,-0.13344328,-0.26325697,0.051347323,0.074776985,-0.21464515,0.28289342
4271,2025-01,6,2,2022-04,2024-02,2025-02,350.2,350.2,0.0,1.0,1.0,0.0,1,train,0.5120401,-0.40767744,0.076961614,0.13174608,0.33183613,-0.116478905,-0.2698842,-0.3320641,-0.19175932,0.38058653,-0.59837955,0.4339801,-0.12348313,0.18092352,0.81475556,0.4721964,-0.12931071,0.05490757,-0.35605544,-0.13994645,-0.49407035,-0.7427052,-0.4412706,-0.23751223,0.6450486,0.4921126,-0.19130069,-0.4239792,0.037915133,0.1208872,-0.31716406,0.306641
4300,2025-01,3,1,2022-05,2024-03,2025-06,195.0,195.0,0.0,1.0,1.0,0.0,1,test,0.5830093,-0.46766514,0.087163836,0.13419779,0.39592385,-0.1576354,-0.29764003,-0.33657765,-0.2623158,0.38371122,-0.62549835,0.4821533,-0.18740562,0.22979954,0.90072954,0.52980626,-0.17488989,0.10252528,-0.4943259,-0.06257587,-0.6089155,-0.8426595,-0.48345286,-0.2828326,0.7262188,0.5044147,-0.20725925,-0.47826815,0.0153469555,0.14603561,-0.36342183,0.30608958
